Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
42,Scrypt,PoW/PoS,41.99995383,42.0,-0.32794875489255354,0.9812487665274673,-0.5304198066025122,0,42 Coin
404,Scrypt,PoW/PoS,1055184902.04,532000000.0,-0.31128800577338406,0.981316926724921,-0.5308291352109056,0,404Coin
1337,X13,PoW/PoS,29279424622.5027,314159265359.0,2.3147158202443143,1.3889436311475747,-0.6814826089344838,0,EliteCoin
BTC,SHA-256,PoW,17927175.0,21000000.0,-0.1505470873103266,-1.2665411419948083,0.1676523654988013,3,Bitcoin
ETH,Ethash,PoW,107684222.6865,0.0,-0.16472306638598933,-1.8837547815288769,0.365104064907165,3,Ethereum
LTC,Scrypt,PoW,63039243.3000049,84000000.0,-0.1642764171856278,-1.0616567173562699,0.00714817495308936,3,Litecoin
DASH,X11,PoW/PoS,9031294.37563393,22000000.0,-0.40086805594921754,1.190781813898334,-0.4805952602077543,0,Dash
XMR,CryptoNight-V7,PoW,17201143.1449131,0.0,-0.13977912122112443,-2.2935746458534427,0.3506691076123983,3,Monero
ETC,Ethash,PoW,113359703.0,210000000.0,-0.16316511034933093,-1.8838709034399819,0.3650845413995936,3,Ethereum Classic
ZEC,Equihash,PoW,7383056.25,21000000.0,-0.1565837916079418,-2.1363557674142637,0.38896567849184005,3,ZCash
BTS,SHA-512,PoS,2741570000.0,3600570502.0,-0.27194738465608,1.3786037214210762,0.12285745201327634,0,Bitshares
DGB,Multiple,PoW,11406219141.0,21000000000.0,0.15202920928178987,-1.6460239408116348,0.3240172127528491,3,DigiByte
BTCD,SHA-256,PoW/PoS,1288862.0,22000000.0,-0.3130500778059263,0.7763326939781896,-0.3699387676950824,0,BitcoinDark
XPY,SHA-256,PoS,11995334.8847328,12500000.0,-0.2739770123289654,0.702957685380501,-0.05995086882131949,0,PayCoin
PRC,Scrypt,PoW,5768310.0,21000000.0,-0.1654225957551268,-1.0616412257473973,0.0071732452777728065,3,ProsperCoin
KOBO,X15,PoW/PoS,25542535.5881841,350000000.0,-0.22786507659303737,1.65989841909651,-0.675698219647802,0,KoboCoin
SPR,X11,PoW,11149733.9976203,20000000.0,-0.2385495209693223,-0.852096514501834,0.057000976997063454,3,Spreadcoin
ARG,Scrypt,PoW,12205795.4449549,64000000.0,-0.1650391447635743,-1.0616631665811638,0.00716742359939408,3,Argentum
AUR,Scrypt,PoW/PoS,18135099.992959,16768584.0,-0.3276083597636785,0.9812456497513012,-0.5304274792356573,0,Aurora Coin
BLU,Scrypt,PoW/PoS,635423900.0,0.0,-0.3201867656791782,0.981469976383559,-0.5306395105318521,0,BlueCoin
XMY,Multiple,PoW,1688254250.0,2000000000.0,-0.1013654659236782,-1.6387220204889175,0.32896615937140583,3,MyriadCoin
MOON,Scrypt,PoW,88.0,384000000000.0,2.556419758571688,-1.2775815289475334,-0.024934831326570185,3,MoonCoin
ZET,SHA-256,PoW,170204389.754849,169795588.0,-0.14763218470790992,-1.2665718079784596,0.16758727121775485,3,ZetaCoin
SXC,Scrypt,PoW,128940951.183046,250000000.0,-0.16229467346955287,-1.0617271284540097,0.007111507126146633,3,SexCoin
QTL,Scrypt,PoW,7357794.7925,100000000.0,-0.16484317199951873,-1.0616850996358642,0.007166089358624717,3,Quatloo
ENRG,Scrypt,PoW/PoS,123062801.128773,0.0,-0.3264454879875462,0.9812916083361222,-0.5304623567359359,0,EnergyCoin
QRK,Quark,PoW,259557164.91477,247000000.0,-0.2295313330489577,-0.42570212594377316,0.03593663218110979,3,QuarkCoin
RIC,Groestl,PoW,49548585.1412917,84000000.0,-0.20544122942230747,-1.1581092541133202,0.08397699568124203,3,Riecoin
DGC,Scrypt,PoW,33442988.3440364,48166000.0,-0.16489196536933526,-1.061646868718792,0.007161404746062141,3,Digitalcoin 
BTB,Scrypt,PoW/PoS,42579.476901,500000.0,-0.32794469122463493,0.9812485001746087,-0.5304198631190219,0,BitBar
CAT,Scrypt,PoW,7219956.64626131,21000000.0,-0.1654048632354862,-1.0616407203862792,0.007172743356931649,3,Catcoin
CBX,Scrypt,PoW/PoS,1039116.65144562,1000000.0,-0.32792897372166685,0.9812485659136313,-0.530420249493645,0,CryptoBullion
CCN,Scrypt,PoW,4703879.51824446,13140000.0,-0.16549131545435508,-1.0616371760784107,0.007174270603848912,3,CannaCoin
CRYPT,X11,PoW,4996986.20575291,18000000.0,-0.2386388569679979,-0.8520975317151287,0.05700327161810649,3,CryptCoin
CSC,Scrypt,PoC,39999997299.8568,40000000000.0,0.6377521245827628,0.8775050060905053,-0.4180496634646926,0,CasinoCoin
DMD,Groestl,PoW/PoS,3304487.74735637,4380000.0,-0.3688773591286673,0.8847996134854066,-0.45359715921568416,0,Diamond
XVG,Multiple,PoW,15929530669.1206,16555000000.0,0.17577422156873743,-1.6419495073904522,0.32282494525110095,3,Verge
DVC,SHA-256,PoW,18773857500.0,21000000000.0,0.22727896086785837,-1.2718096096837466,0.15941296210100783,3,DevCoin
EAC,Scrypt,PoW,12539015186.822,13500000000.0,0.08322529552565962,-1.064858218043988,0.0017125788754866606,3,EarthCoin
EFL,Scrypt,PoW,20910478.8062499,21000000.0,-0.16523762732189962,-1.0616359543107292,0.007168009726735942,3,E-Gulden
EMC2,Scrypt,PoW,218871896.499999,299792458.0,-0.16084316243060567,-1.0617238226207992,0.007076248761786214,3,Einsteinium
